,pos,smote,pos-smote
D_2767_FIRST_EXP_DT,0.938,0.9965555555555555,-0.05855555555555558
D_3449_FIRST_EXP_DT,0.928,0.9965555555555555,-0.06855555555555548
D_5856_FIRST_EXP_DT,0.989,0.9996666666666667,-0.010666666666666713
D_7804_FIRST_EXP_DT,0.784,0.9815555555555555,-0.19755555555555548
D_7943_FIRST_EXP_DT,0.868,0.9871111111111112,-0.11911111111111117
D_3382_FIRST_EXP_DT,0.911,0.9922222222222222,-0.0812222222222222
D_V032_FIRST_EXP_DT,0.996,1.0,-0.0040000000000000036
D_V037_FIRST_EXP_DT,0.995,1.0,-0.0050000000000000044
D_V039_FIRST_EXP_DT,0.997,1.0,-0.0030000000000000027
D_V040_FIRST_EXP_DT,0.996,0.9993333333333333,-0.0033333333333332993
D_V045_FIRST_EXP_DT,0.999,1.0,-0.0010000000000000009
D_V050_FIRST_EXP_DT,1.0,1.0,0.0
D_V051_FIRST_EXP_DT,1.0,1.0,0.0
D_V053_FIRST_EXP_DT,0.933,0.9954444444444445,-0.062444444444444414
D_V054_FIRST_EXP_DT,0.987,0.9964444444444445,-0.009444444444444478
D_V058_FIRST_EXP_DT,0.991,1.0,-0.009000000000000008
D_V059_FIRST_EXP_DT,0.992,1.0,-0.008000000000000007
D_V060_FIRST_EXP_DT,1.0,1.0,0.0
D_V062_FIRST_EXP_DT,0.999,1.0,-0.0010000000000000009
D_V063_FIRST_EXP_DT,0.999,1.0,-0.0010000000000000009
D_V064_FIRST_EXP_DT,0.995,0.9995555555555555,-0.004555555555555535
D_V065_FIRST_EXP_DT,0.985,0.9993333333333333,-0.014333333333333309
D_V066_FIRST_EXP_DT,0.996,1.0,-0.0040000000000000036
D_V068_FIRST_EXP_DT,0.993,1.0,-0.007000000000000006
D_V069_FIRST_EXP_DT,0.992,0.9997777777777778,-0.007777777777777772
D_2768_FIRST_EXP_DT,0.567,0.748,-0.18100000000000005
