,pos,smote,pos-smote
P_99053_AVG_CLAIM_CNT,0.889,0.8955555555555555,-0.006555555555555537
P_74177_AVG_CLAIM_CNT,0.884,0.8944444444444445,-0.010444444444444478
P_84480_AVG_CLAIM_CNT,0.963,0.9692222222222222,-0.00622222222222224
P_76705_AVG_CLAIM_CNT,0.932,0.9414444444444444,-0.009444444444444366
P_93272_AVG_CLAIM_CNT,0.984,0.9884444444444445,-0.004444444444444473
P_E0973_AVG_CLAIM_CNT,0.991,0.9923333333333333,-0.0013333333333332975
P_59025_AVG_CLAIM_CNT,0.988,0.9885555555555555,-0.0005555555555555314
P_99354_AVG_CLAIM_CNT,0.978,0.9816666666666667,-0.003666666666666707
P_83909_AVG_CLAIM_CNT,0.99,0.9914444444444445,-0.0014444444444444704
P_95810_AVG_CLAIM_CNT,0.955,0.965,-0.010000000000000009
P_95885_AVG_CLAIM_CNT,0.973,0.9766666666666667,-0.003666666666666707
P_95911_AVG_CLAIM_CNT,0.981,0.9846666666666667,-0.003666666666666707
P_83519_AVG_CLAIM_CNT,0.986,0.9872222222222222,-0.0012222222222222356
P_76857_AVG_CLAIM_CNT,0.988,0.9904444444444445,-0.0024444444444444713
P_72157_AVG_CLAIM_CNT,0.97,0.9732222222222222,-0.0032222222222222374
P_62270_AVG_CLAIM_CNT,0.982,0.9846666666666667,-0.002666666666666706
P_95908_AVG_CLAIM_CNT,0.99,0.9915555555555555,-0.0015555555555555323
P_96110_AVG_CLAIM_CNT,0.99,0.9905555555555555,-0.0005555555555555314
P_L2275_AVG_CLAIM_CNT,0.998,0.9981111111111111,-0.00011111111111106187
S_S21_AVG_CLAIM,0.368,0.371,-0.0030000000000000027
S_S22_AVG_CLAIM,0.47,0.41833333333333333,0.05166666666666664
S_S45_AVG_CLAIM,0.782,0.7896666666666666,-0.0076666666666665995
S_S05_AVG_CLAIM,0.71,0.7277777777777777,-0.01777777777777778
S_S24_AVG_CLAIM,0.39,0.3141111111111111,0.0758888888888889
S_S37_AVG_CLAIM,0.411,0.2802222222222222,0.13077777777777777
S_S53_AVG_CLAIM,0.78,0.7693333333333333,0.010666666666666713
S_S04_AVG_CLAIM,0.732,0.6816666666666666,0.05033333333333334
S_S08_AVG_CLAIM,0.567,0.5577777777777778,0.009222222222222132
S_S23_AVG_CLAIM,0.852,0.8401111111111111,0.011888888888888838
S_S44_AVG_CLAIM,0.615,0.6302222222222222,-0.015222222222222248
S_S48_AVG_CLAIM,0.683,0.6614444444444444,0.02155555555555566
S_S51_AVG_CLAIM,0.803,0.7842222222222223,0.018777777777777782
